id,song_name,singer,album,release_date,cover_image,spotify_url,popularity,genre,language,language_evidence,source,mood_valence,mood_arousal,mood_danceability,mood_acousticness,artist_text,release_year,text,recommendation_text,emotion_sadness,emotion_joy,emotion_love,emotion_anger,emotion_fear,emotion_surprise,emotion_prob_sadness,emotion_prob_joy,emotion_prob_love,emotion_prob_anger,emotion_prob_fear,emotion_prob_surprise,emotion_label,emotion_confidence,emotion_label_source
54DsG6tgBQrOE1dPIgMldK,Sad Face Baby,['The Lathums'],From Nothing To A Little Bit More,2023-03-03,https://i.scdn.co/image/ab67616d0000b27387de4242edca0bc25c7d1679,https://open.spotify.com/track/54DsG6tgBQrOE1dPIgMldK,37,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,The Lathums,2023,Sad Face Baby From Nothing To A Little Bit More The Lathums english English,Sad Face Baby From Nothing To A Little Bit More english English,0.098,0.0,0.098,0.0,0.0,0.0,0.314958,0.092521,0.314958,0.092521,0.092521,0.092521,unclassified,0.098,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
6FtjTAcCmcyXN3HF8g19jo,Bad Advice,['Otherkin'],OK,2017-09-29,https://i.scdn.co/image/ab67616d0000b273608441969172e51f2a7461c6,https://open.spotify.com/track/6FtjTAcCmcyXN3HF8g19jo,10,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Otherkin,2017,Bad Advice OK Otherkin english English,Bad Advice OK english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
6H8kRwXYJhmz6y1AkbCwvD,"Water Music, Suite No. 1, HWV 348: No. 2, Adagio e staccato","['George Frideric Handel', 'Akademie für Alte Musik Berlin']",Handel: Water Music,2016-02-05,https://i.scdn.co/image/ab67616d0000b2730467d27cbc2ac9ea30779a5d,https://open.spotify.com/track/6H8kRwXYJhmz6y1AkbCwvD,35,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,George Frideric Handel Akademie für Alte Musik Berlin,2016,"Water Music, Suite No. 1, HWV 348: No. 2, Adagio e staccato Handel: Water Music George Frideric Handel Akademie für Alte Musik Berlin english English","Water Music, Suite No. 1, HWV 348: No. 2, Adagio e staccato Handel: Water Music english English",0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
42VTmF0VpIx8r0O995aNdA,Beaches,['Black Honey'],Written & Directed,2021-03-19,https://i.scdn.co/image/ab67616d0000b273594ce327001e8d39c44680ca,https://open.spotify.com/track/42VTmF0VpIx8r0O995aNdA,28,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Black Honey,2021,Beaches Written & Directed Black Honey english English,Beaches Written & Directed english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
0pe7snBntZbgKBHPBEhsTn,Oh My Love,['The Lathums'],How Beautiful Life Can Be,2021-09-24,https://i.scdn.co/image/ab67616d0000b2732e12e23f6b6adbbb26411328,https://open.spotify.com/track/0pe7snBntZbgKBHPBEhsTn,37,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,The Lathums,2021,Oh My Love How Beautiful Life Can Be The Lathums english English,Oh My Love How Beautiful Life Can Be english English,0.0,0.0,0.10421646861097407,0.0,0.0,0.26599999999999996,0.028186,0.028186,0.103704,0.028186,0.028186,0.783551,surprise,0.266,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
2SPSxDbgSbi7reegoHzWgl,You've Got The Nerve,['Bad Nerves'],Still Nervous,2024-05-31,https://i.scdn.co/image/ab67616d0000b2732d7099fc381829b61795df23,https://open.spotify.com/track/2SPSxDbgSbi7reegoHzWgl,36,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Bad Nerves,2024,You've Got The Nerve Still Nervous Bad Nerves english English,You've Got The Nerve Still Nervous english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
6EU03ZqHP5PQnyGsDYLOYJ,Never Be Lonely,['The Feeling'],Twelve Stops And Home (Deluxe),2006-06-05,https://i.scdn.co/image/ab67616d0000b273304a271291b3699d16d62db1,https://open.spotify.com/track/6EU03ZqHP5PQnyGsDYLOYJ,36,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,The Feeling,2006,Never Be Lonely Twelve Stops And Home (Deluxe) The Feeling english English,Never Be Lonely Twelve Stops And Home (Deluxe) english English,0.364,0.0,0.0,0.0,0.0,0.0,0.949816,0.010037,0.010037,0.010037,0.010037,0.010037,sadness,0.364,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
3CixrBde5vWFTAXXNMwceD,Who Are You?,['Spring King'],Tell Me If You Like To,2016-06-10,https://i.scdn.co/image/ab67616d0000b2730e809d9b5b9f5e3fed25caf9,https://open.spotify.com/track/3CixrBde5vWFTAXXNMwceD,29,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Spring King,2016,Who Are You? Tell Me If You Like To Spring King english English,Who Are You? Tell Me If You Like To english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
3L7aQYaKfELkdsoMUAv8zN,Swing (In A Dream),['Squid'],O Monolith,2023-06-09,https://i.scdn.co/image/ab67616d0000b273a7b009fee22ab11090887dbd,https://open.spotify.com/track/3L7aQYaKfELkdsoMUAv8zN,31,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Squid,2023,Swing (In A Dream) O Monolith Squid english English,Swing (In A Dream) O Monolith english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
5yNX5LlE4IuvGBEaP9IiWi,CM2,['Bilk'],CM2,2019-03-08,https://i.scdn.co/image/ab67616d0000b273baa3d89255dfceff803286dc,https://open.spotify.com/track/5yNX5LlE4IuvGBEaP9IiWi,35,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Bilk,2019,CM2 CM2 Bilk english English,CM2 CM2 english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
0Rzhp7yczZfx4LuMM2wDcL,Mother,['The Amazons'],Future Dust,2019-05-24,https://i.scdn.co/image/ab67616d0000b273ae8e5febe5468fd2e51b416d,https://open.spotify.com/track/0Rzhp7yczZfx4LuMM2wDcL,32,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,The Amazons,2019,Mother Future Dust The Amazons english English,Mother Future Dust english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
2DBteO5OvpnUkI53z67jJX,The Last Hangman,['Hotel Lux'],The Last Hangman,2017-11-17,https://i.scdn.co/image/ab67616d0000b273397cecd930ed3742ea179190,https://open.spotify.com/track/2DBteO5OvpnUkI53z67jJX,28,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Hotel Lux,2017,The Last Hangman The Last Hangman Hotel Lux english English,The Last Hangman The Last Hangman english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
6tsI3hDX8QLySSK06W4YfJ,Under The Skin,['Calva Louise'],Under The Skin,2024-04-18,https://i.scdn.co/image/ab67616d0000b273b83434a66f4cb053e26b2bd0,https://open.spotify.com/track/6tsI3hDX8QLySSK06W4YfJ,32,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Calva Louise,2024,Under The Skin Under The Skin Calva Louise english English,Under The Skin Under The Skin english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
7HINVXNsiYX9SA9ojJqlNX,High Tones,['Cassia'],High Tones,2023-06-13,https://i.scdn.co/image/ab67616d0000b2736df111fd249e0abb028e6d62,https://open.spotify.com/track/7HINVXNsiYX9SA9ojJqlNX,30,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Cassia,2023,High Tones High Tones Cassia english English,High Tones High Tones english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
4U2BP8vV8byYv71g2toPKN,Berlin,['Palace'],Life After,2019-07-12,https://i.scdn.co/image/ab67616d0000b273287d57f51a9220e1b972d576,https://open.spotify.com/track/4U2BP8vV8byYv71g2toPKN,38,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Palace,2019,Berlin Life After Palace english English,Berlin Life After english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
4XJ1LqOmKyxr95FHfTX5mn,Don't Forget About Us,"['Flyte', 'Billie Marten']",Flyte,2023-10-27,https://i.scdn.co/image/ab67616d0000b273075680b4c8c8b2abedc39ae2,https://open.spotify.com/track/4XJ1LqOmKyxr95FHfTX5mn,32,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Flyte Billie Marten,2023,Don't Forget About Us Flyte Flyte Billie Marten english English,Don't Forget About Us Flyte english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
5PBIfafBl1Rw9XfrfGWa7z,Move into Me,"['Bad Sounds', 'BROODS']",Move into Me,2021-01-25,https://i.scdn.co/image/ab67616d0000b2739e2bb94f99f10a0771cedc64,https://open.spotify.com/track/5PBIfafBl1Rw9XfrfGWa7z,32,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Bad Sounds BROODS,2021,Move into Me Move into Me Bad Sounds BROODS english English,Move into Me Move into Me english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
6tkqqX7J4qgWD71Ts6BLaR,One Great Song and I Could Change the World,['Swim Deep'],One Great Song and I Could Change the World,2015-04-30,https://i.scdn.co/image/ab67616d0000b273242b6e5b8659cebfe4a279ff,https://open.spotify.com/track/6tkqqX7J4qgWD71Ts6BLaR,26,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Swim Deep,2015,One Great Song and I Could Change the World One Great Song and I Could Change the World Swim Deep english English,One Great Song and I Could Change the World One Great Song and I Could Change the World english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
0n9cHRLNSCXECfXx4cvw0D,"Handel: Water Music, Suite No. 1 in F Major, HWV 348: VI. Air","['George Frideric Handel', 'John Eliot Gardiner', 'English Baroque Soloists']","Handel : Water Music, Concerti grossi, Israel in Egypt, The Ways of Zion Do Mourn & Semele",1990-10-01,https://i.scdn.co/image/ab67616d0000b27315bb5e4a67190041a0b22359,https://open.spotify.com/track/0n9cHRLNSCXECfXx4cvw0D,30,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,George Frideric Handel John Eliot Gardiner English Baroque Soloists,1990,"Handel: Water Music, Suite No. 1 in F Major, HWV 348: VI. Air Handel : Water Music, Concerti grossi, Israel in Egypt, The Ways of Zion Do Mourn & Semele George Frideric Handel John Eliot Gardiner English Baroque Soloists english English","Handel: Water Music, Suite No. 1 in F Major, HWV 348: VI. Air Handel : Water Music, Concerti grossi, Israel in Egypt, The Ways of Zion Do Mourn & Semele english English",0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
4kuJIDSMxm0B9Gd89PNp5t,All My Pride,['Black Honey'],Black Honey (Deluxe),2018-11-23,https://i.scdn.co/image/ab67616d0000b273a5dba0a193ed952ce88658b1,https://open.spotify.com/track/4kuJIDSMxm0B9Gd89PNp5t,33,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Black Honey,2018,All My Pride Black Honey (Deluxe) Black Honey english English,All My Pride Black Honey (Deluxe) english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
4cN3HlGxX9HvWs4yC74ajk,Hustle,['Sundara Karma'],Indigo Puff,,https://i.scdn.co/image/ab67616d0000b2734149f1cc667b5f13441496c6,https://open.spotify.com/track/4cN3HlGxX9HvWs4yC74ajk,32,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Sundara Karma,,Hustle Indigo Puff Sundara Karma english English,Hustle Indigo Puff english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
7yCiB5SKKm9guqoonT9kVI,"Water Music Suite No. 1 in F Major, HWV 348: II. Adagio e staccato","['George Frideric Handel', 'The English Concert', 'Trevor Pinnock']",Handel: Water Music,1983-01-01,https://i.scdn.co/image/ab67616d0000b27399fb351fb46ad3eab6e1689e,https://open.spotify.com/track/7yCiB5SKKm9guqoonT9kVI,35,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,George Frideric Handel The English Concert Trevor Pinnock,1983,"Water Music Suite No. 1 in F Major, HWV 348: II. Adagio e staccato Handel: Water Music George Frideric Handel The English Concert Trevor Pinnock english English","Water Music Suite No. 1 in F Major, HWV 348: II. Adagio e staccato Handel: Water Music english English",0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
3yfGFtu5luB1ZquRseNeei,Shoals,['Palace'],Shoals,2022-01-21,https://i.scdn.co/image/ab67616d0000b273e465f9173df2538a391d9c0b,https://open.spotify.com/track/3yfGFtu5luB1ZquRseNeei,35,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Palace,2022,Shoals Shoals Palace english English,Shoals Shoals english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
5T1TrM1JTB0igswZSOKKi3,The Lover,"[""Somebody's Child""]",The Lover,2021-01-29,https://i.scdn.co/image/ab67616d0000b2731e60632705bbb59120b8fe77,https://open.spotify.com/track/5T1TrM1JTB0igswZSOKKi3,34,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Somebody's Child,2021,The Lover The Lover Somebody's Child english English,The Lover The Lover english English,0.0,0.0,0.098,0.0,0.0,0.0,0.118989,0.118989,0.405057,0.118989,0.118989,0.118989,unclassified,0.098,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
23efsBdy93t6sOpg79sdYE,Headache,['The Reytons'],Headache,2020-03-13,https://i.scdn.co/image/ab67616d0000b273b0dd6680dfa30ff27b75262a,https://open.spotify.com/track/23efsBdy93t6sOpg79sdYE,38,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,The Reytons,2020,Headache Headache The Reytons english English,Headache Headache english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
6Sn6JJqth4BZSGRpeYCVDK,What Took You So Long?,['Courteeners'],St. Jude,2008-01-01,https://i.scdn.co/image/ab67616d0000b2737afa0093bf8df846a2b53498,https://open.spotify.com/track/6Sn6JJqth4BZSGRpeYCVDK,32,english,English,Genre metadata: english → English,spotify_dataset.csv,,,,,Courteeners,2008,What Took You So Long? St. Jude Courteeners english English,What Took You So Long? St. Jude english English,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
